Date,Open,High,Low,Close,Volume,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,ema20,ema250,upper_shadow,RSI20,RSI10,avg_Volume,MB,STD,UB,MF,MF3d_direction,MF5d_direction,prev_High,prev_Low,prev_Close,prev_Open,prev_Vol,prev_upper_shadow,prev_avg_Volume,prev_ema20,prev_ema250,couple_cs_signal,ema20_250_cross_signal,allow_entry
2025-10-15 13:55:00,2017.3,2019.7,2017.0,2018.8,4043,2034.0,2013.5,2022.0,2018.7,281052,13,55,2019.75803638824,1984.0384490510098,0.900000000000091,46.94210612709125,47.11018036220939,5055.0,2020.2150000000001,3.566108744741331,2025.5641631171122,1347.6666666664396,331861.14910130796,557880.1795006923,2019.4,2015.6,2017.2,2016.0,5866.0,2.2000000000000455,4971.4,2019.8588823238442,1983.7592398064396,0,0,2
2025-10-15 14:00:00,2018.5,2022.4,2018.0,2021.6,7964,2034.0,2013.5,2022.0,2018.7,281052,14,0,2019.933461494122,1984.337744277695,0.8000000000001819,50.9462169300148,55.62065524900397,5318.7,2019.9100000000003,3.1259356494629267,2024.5989034741947,5067.999999999402,336284.1491013074,567756.1551104478,2019.7,2017.0,2018.8,2017.3,4043.0,0.900000000000091,5055.0,2019.75803638824,1984.0384490510098,0,0,2
2025-10-15 14:05:00,2021.7,2028.6,2020.3,2027.7,11769,2034.0,2013.5,2022.0,2018.7,281052,14,5,2020.6731318280151,1984.6832602595462,0.8999999999998636,58.18316473667343,68.06099796493959,5814.4,2019.95,3.223678840010374,2024.7855182600156,9216.686746988325,346775.6050790648,577955.4344500287,2022.4,2018.0,2021.6,2018.5,7964.0,0.8000000000001819,5318.7,2019.933461494122,1984.337744277695,0,0,3
2025-10-15 14:10:00,2028.5,2031.0,2025.0,2025.5,13493,2034.0,2013.5,2022.0,2018.7,281052,14,10,2021.1328335586804,1985.0084932455259,2.5,55.097262277072055,61.18768929046265,6342.35,2019.98,3.274559030232623,2024.891838545349,11244.166666666668,351500.40251496236,585473.6708841373,2028.6,2020.3,2027.7,2021.7,11769.0,0.8999999999998636,5814.4,2020.6731318280151,1984.6832602595462,0,0,3
2025-10-15 14:15:00,2025.5,2026.0,2018.4,2019.5,12777,2034.0,2013.5,2022.0,2018.7,281052,14,15,2020.9773256007109,1985.283325968669,0.5,47.816634553381384,46.85040378272055,6662.0,2019.725,3.089178906467185,2024.3587683597007,9078.394736842367,357887.3686803761,592632.5656209796,2031.0,2025.0,2025.5,2028.5,13493.0,2.5,6342.35,2021.1328335586804,1985.0084932455259,0,0,1
2025-10-15 14:20:00,2019.5,2022.6,2016.5,2017.7,6801,2034.0,2013.5,2022.0,2018.7,281052,14,20,2020.665199353024,1985.5416261601538,3.099999999999909,45.90122888834575,43.45623290977108,6753.7,2019.4950000000001,3.058461085398692,2024.0826916280982,4125.196721311334,361338.045401687,598062.0602146315,2026.0,2018.4,2019.5,2025.5,12777.0,0.5,6662.0,2020.9773256007109,1985.283325968669,0,0,1
2025-10-15 14:25:00,2017.7,2020.0,2015.1,2018.1,7606,2034.0,2013.5,2022.0,2018.7,281052,14,25,2020.420894652736,1985.8010554337782,1.900000000000091,46.40343569354885,44.44992085851329,6858.9,2019.3650000000002,3.059803055298441,2023.954704582948,1707.4693877549291,360123.0590932396,594584.5296023865,2022.6,2016.5,2017.7,2019.5,6801.0,3.099999999999909,6753.7,2020.665199353024,1985.5416261601538,0,0,0
2025-10-15 14:45:00,2022.0,2022.0,2022.0,2022.0,4357,2034.0,2013.5,2022.0,2018.7,281052,14,45,2020.5712856381897,1986.0894932390866,0.0,51.06562838850083,53.334267194991575,6708.75,2019.5700000000002,3.0936437382671196,2024.210465607401,0.0,353687.3798479564,590458.8980234392,2020.0,2015.1,2018.1,2017.7,7606.0,1.900000000000091,6858.9,2020.420894652736,1985.8010554337782,0,0,0
2025-10-16 09:00:00,2021.5,2022.0,2018.0,2020.1,5305,2026.0,2009.0,2012.7,2021.5,226174,9,0,2020.5264012916955,1986.3604932929584,0.5,48.8849393630414,49.084801553142114,6673.8,2019.72,3.039840716109916,2024.279761074165,-265.24999999975876,340436.5144633413,582496.787558323,2022.0,2022.0,2022.0,2022.0,4357.0,0.0,6708.75,2020.5712856381897,1986.0894932390866,0,0,3
2025-10-16 09:05:00,2020.4,2020.7,2018.6,2018.6,2226,2026.0,2009.0,2012.7,2021.5,226174,9,5,2020.3429345020102,1986.6173817926162,0.2999999999999545,47.20957526908184,45.87830689500121,6518.3,2019.775,3.007337518094841,2024.2860062771424,2226.0,341401.49628152343,573292.6675583232,2022.0,2018.0,2020.1,2021.5,5305.0,0.5,6673.8,2020.5264012916955,1986.3604932929584,0,0,0
