Date,Open,High,Low,Close,Volume,time_d,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,allow_entry
2025-10-13 09:35:00,1973.5,1973.8,1969.3,1970.0,6103,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,35,long
2025-10-13 09:40:00,1969.7,1974.6,1969.4,1973.6,4127,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,40,long
2025-10-13 09:45:00,1973.6,1975.0,1972.4,1975.0,4122,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,45,long
2025-10-13 09:50:00,1975.0,1975.0,1971.1,1973.2,3483,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,50,long
2025-10-13 09:55:00,1973.2,1975.6,1971.8,1974.8,2241,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,9,55,long
2025-10-13 10:00:00,1974.8,1976.5,1973.7,1974.8,3274,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,0,long
2025-10-13 10:05:00,1974.4,1974.9,1973.2,1974.9,1640,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,5,long
2025-10-13 10:10:00,1974.8,1977.9,1972.4,1976.6,5185,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,10,long
2025-10-13 10:15:00,1976.6,1979.9,1976.5,1977.4,7919,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,15,long
2025-10-13 10:20:00,1977.4,1978.2,1974.1,1974.5,3215,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,20,long
2025-10-13 10:25:00,1974.5,1980.0,1973.4,1979.9,4925,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,25,long
2025-10-13 10:30:00,1979.9,1981.8,1977.6,1979.9,5942,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,30,long
2025-10-13 10:35:00,1979.9,1980.4,1977.0,1977.9,2869,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,35,long
2025-10-13 10:40:00,1977.9,1978.5,1976.3,1978.0,2351,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,40,long
2025-10-13 10:45:00,1978.4,1980.8,1976.6,1978.6,4176,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,45,long
2025-10-13 10:50:00,1978.6,1978.9,1975.6,1977.8,3276,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,50,long
2025-10-13 10:55:00,1977.8,1979.5,1977.8,1978.2,1706,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,10,55,long
2025-10-13 11:00:00,1978.2,1978.2,1975.7,1976.7,3381,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,11,0,long
2025-10-13 11:05:00,1977.0,1979.0,1976.6,1978.8,1889,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,11,5,long
2025-10-13 11:10:00,1978.8,1980.7,1977.8,1980.0,4431,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,11,10,long
2025-10-13 11:15:00,1980.0,1984.0,1979.8,1983.5,6048,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,11,15,long
2025-10-13 11:20:00,1983.5,1986.2,1981.5,1985.0,7150,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,11,20,long
2025-10-13 11:25:00,1985.0,1985.5,1980.3,1984.9,5109,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,11,25,long
2025-10-13 13:00:00,1985.0,1986.0,1983.6,1983.8,3448,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,0,long
2025-10-13 13:05:00,1983.8,1985.4,1983.0,1984.2,2043,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,5,long
2025-10-13 13:10:00,1984.2,1988.8,1984.2,1987.9,6242,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,10,long
2025-10-13 13:15:00,1987.8,1988.3,1984.0,1985.9,4852,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,15,long
2025-10-13 13:20:00,1985.9,1987.0,1982.2,1983.4,5456,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,20,long
2025-10-13 13:25:00,1983.8,1986.9,1982.0,1985.1,5378,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,25,long
2025-10-13 13:30:00,1985.3,1987.0,1982.6,1986.1,3787,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,30,long
2025-10-13 13:35:00,1986.1,1986.2,1982.9,1983.2,3230,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,35,long
2025-10-13 13:40:00,1983.2,1985.6,1982.0,1983.6,4071,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,40,long
2025-10-13 13:45:00,1983.2,1985.0,1982.6,1983.7,2759,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,45,long
2025-10-13 13:50:00,1983.6,1986.9,1983.4,1986.3,4084,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,50,long
2025-10-13 13:55:00,1986.3,1989.5,1985.0,1988.4,7041,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,13,55,long
2025-10-13 14:00:00,1987.8,1993.0,1987.0,1993.0,7161,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,14,0,long
2025-10-13 14:05:00,1992.9,1998.5,1991.2,1993.3,13237,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,14,5,long
2025-10-13 14:10:00,1993.6,1994.9,1990.5,1991.2,5951,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,14,10,long
2025-10-13 14:15:00,1991.2,2001.0,1991.1,2000.5,14921,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,14,15,long
2025-10-13 14:20:00,2001.0,2021.0,2000.5,2005.3,16785,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,14,20,long
2025-10-13 14:25:00,2005.1,2016.0,2004.5,2015.7,11275,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,14,25,
2025-10-13 14:45:00,2013.6,2013.6,2013.6,2013.6,5660,2025-10-13,2021.0,1957.7,2013.6,1965.6,276587,14,45,
